label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63
A,0.0,0.0,0.0,-0.20766756836368788,-0.07856298025529287,-0.06244495592946125,-0.3615269531645615,-0.4411693747884925,-0.05551398501611726,-0.40587826390315274,-0.7942535087357379,-0.04769073960929592,-0.43545922710323365,-1.0,-0.020700073360735947,-0.27313676118820235,-0.6802406461384676,0.040031217246350434,-0.2826293000642788,-0.8926370983378565,-0.0335881358245206,-0.2535683709105764,-0.6179332679860527,-0.05509483699947732,-0.24480947888606483,-0.563323557021372,-0.056687241523837445,-0.14598434611870742,-0.685383460712166,0.04215392658538147,-0.16447303935707275,-0.8933989328755636,-0.04016135961918462,-0.16016268833057598,-0.5622188681787518,-0.040214806763869494,-0.15258870180652706,-0.5456791520965039,-0.01316960077819836,-0.032287875916910756,-0.6621139825017108,0.021353465569702437,-0.04675844965041676,-0.8162809390615783,-0.0716320163497665,-0.05946796413541991,-0.5009662591798937,-0.036987081004232925,-0.05393614670942801,-0.47568906348777745,0.01511275839786343,0.07935670970316992,-0.6411816533701431,-0.005597772973097737,0.05716373264919283,-0.7521023076223179,-0.044055179258069684,0.03839316254940555,-0.5312799104667046,-0.008172868009064043,0.05097624791153055,-0.4888561644695878,0.032163634958201265
A,0.0,0.0,0.0,-0.2094692013155783,-0.06287779707738024,-0.0668043159877998,-0.3710722367179237,-0.4323587141875315,-0.05824792489541636,-0.4205014897965478,-0.7947941650900765,-0.047693164427285,-0.453976736868887,-1.0,-0.017011641296384748,-0.28440854003283395,-0.6802854527389918,0.04391041521894377,-0.2855660701704644,-0.8915827381495159,-0.03410207837272668,-0.25999028723700257,-0.6165861049686222,-0.05822504457481356,-0.2559555902343313,-0.5629358341479151,-0.06059358843575259,-0.15406430427133438,-0.6817777580938632,0.047850291857888895,-0.17048541670583192,-0.8899773692220752,-0.03945760794744775,-0.16921656243521005,-0.5538605088543161,-0.04159118111827818,-0.16541173906292242,-0.5454291107121848,-0.014440349236317616,-0.03912855950385296,-0.658215242668881,0.027165710574780583,-0.05026311365170385,-0.8067236431250692,-0.07061042303304524,-0.06617149281982758,-0.4881690344564917,-0.0381176958975269,-0.06433732068635878,-0.47730810753456315,0.013667999183866493,0.07197292522155944,-0.6412153651655682,-0.00011880704530957214,0.05489845252095975,-0.7422206742696679,-0.04032953966802177,0.03534032770907846,-0.5163488253397276,-0.006290071290598434,0.04717346755205925,-0.4814586110722153,0.032922390039485445
A,0.0,0.0,0.0,-0.20800315293168106,-0.05701866066606491,-0.06202462182862195,-0.3667220627486529,-0.4251175692007762,-0.05145369161871887,-0.4138721712992205,-0.7941600381145538,-0.038717716410707155,-0.4504937208672531,-1.0,-0.006321372145091536,-0.2827112111301293,-0.6713641762160357,0.0385697998054728,-0.28446376869044726,-0.8893511633615424,-0.03519041285696456,-0.2586989612948108,-0.6115334413479403,-0.057277160916837634,-0.2532289268537783,-0.5620058923309696,-0.06028999703915504,-0.1505023299455902,-0.6746102774058076,0.04272202840057032,-0.16930382893646737,-0.8918328970478951,-0.03874869004757892,-0.1680520406313441,-0.55695242402185,-0.03858137510450435,-0.16306821349624379,-0.5465247200212443,-0.013344153956562967,-0.035757945077046535,-0.649506016208663,0.024022585246813465,-0.04994856463338034,-0.8219666195628058,-0.06754660905738795,-0.06560791857227638,-0.5046016770916066,-0.032188220103812996,-0.061012140418449747,-0.48280702336296216,0.018031206898315142,0.07312309788751285,-0.631847427985599,-0.0008662136269183574,0.05765318412189322,-0.7466243075742564,-0.03803854642293852,0.03897060771666006,-0.5260453608764514,-0.003727482270742955,0.05102358705440014,-0.48987449015480766,0.03363535099311774
A,0.0,0.0,0.0,-0.19997739435340484,-0.05446341785521595,-0.06755938934970272,-0.36509873779946256,-0.4240901947008693,-0.06211669634044643,-0.4182211266465939,-0.7908539057757765,-0.05585277040350859,-0.45427987653401447,-1.0,-0.03054399578163579,-0.2766729270826993,-0.6807910973720445,0.039617117632153184,-0.27862282498978697,-0.9018161303312736,-0.04331939752214864,-0.2544735995414109,-0.6269941972179067,-0.07010851979610462,-0.24885450102844853,-0.5542208153024173,-0.07276794337514887,-0.15021570711725946,-0.679254902442951,0.0419250003742188,-0.16309950308561658,-0.8941752592002933,-0.04773597911279967,-0.1619495077107305,-0.5586370793504599,-0.050314865418557064,-0.16097320390872427,-0.5415419401639983,-0.02345793509600863,-0.037441237258454656,-0.6528220799111978,0.019446245922313764,-0.045092743949864914,-0.8120478002731172,-0.08107366405003819,-0.05966942307199221,-0.4956452291365446,-0.04748783014910802,-0.06155808182857936,-0.4754385449713326,0.005018999705499466,0.07278178197595639,-0.6297141909910232,-0.0097702704882713,0.05961441622441872,-0.7460471703363245,-0.05458682963755111,0.04272446883758778,-0.5210291279887068,-0.020545969880523537,0.05255728155346383,-0.4758360575102011,0.019265346132223825
A,0.0,0.0,0.0,-0.20951390801883588,-0.08700595417997324,-0.06647165459371406,-0.36458594772844627,-0.45375017254589556,-0.057863420994640535,-0.41422563710501875,-0.8037046967076403,-0.04783372871481394,-0.45478969674678305,-1.0,-0.017632791868384845,-0.2793129799544325,-0.6933344725990427,0.04954755318526714,-0.2743490110167752,-0.902128555608021,-0.02651466711557796,-0.2540117798914562,-0.6262429410077376,-0.05049753038917322,-0.25605295685285384,-0.5761628455877664,-0.053205790023189245,-0.15116392117681954,-0.6879706454852459,0.05369475609502492,-0.1584514301119034,-0.8925262050628763,-0.029926521739563734,-0.163003363131109,-0.5603311114752538,-0.03243620095374339,-0.16685929133970487,-0.5652080296285809,-0.007435086368314221,-0.03914247550350113,-0.6587518924847204,0.03297770026696822,-0.042950763313601155,-0.8147032053356711,-0.06232094723750794,-0.06298475527321333,-0.5026352433631471,-0.0312669766879726,-0.06667621704992319,-0.4974519412425272,0.017966288902766005,0.06733113870789738,-0.6350208182519467,0.005421613692520963,0.06019913017464555,-0.7502458799920965,-0.035523812733875726,0.03800673375621324,-0.5270908932634938,-0.003113423551882779,0.045004385659999174,-0.4873814836357573,0.034626467046408364
A,0.0,0.0,0.0,-0.21910325790787608,-0.09124456544336464,-0.06326243303986231,-0.36594587192815187,-0.45322357078234127,-0.05525431148041918,-0.4125310741735837,-0.8001189812043402,-0.04645632117454615,-0.45496855250244994,-1.0,-0.017932935732435252,-0.2761834118450024,-0.6907215399904264,0.052500361887327526,-0.2713808758486817,-0.9028086861505872,-0.01889744253219165,-0.2512242965569663,-0.6256605455384712,-0.04161951425589231,-0.25062255561588975,-0.5766524313835241,-0.04492193203156094,-0.14703412578080996,-0.6868961294287137,0.05529109045991392,-0.15502990930564556,-0.8981822498416996,-0.0266287687032219,-0.1612717989115793,-0.568676013463585,-0.0304611042276718,-0.1595846459701064,-0.5638268391938802,-0.006881041766225017,-0.03612013657375074,-0.6531377925441818,0.034258766182926934,-0.040320529574913916,-0.8104921105095229,-0.05739347372234108,-0.062054367025990216,-0.5034497747843809,-0.026281335344439664,-0.06169613683991054,-0.4907082118976447,0.02217944709434735,0.06819802141815799,-0.6231263316575607,0.006632789530743486,0.06331346638933423,-0.7385071417033913,-0.02917145084821125,0.03736958663915321,-0.5220101323659198,0.005060655990390272,0.044357018529097875,-0.4838188141944255,0.042934971794858105
A,0.0,0.0,0.0,-0.22579489966505434,-0.09527235466165897,-0.06399102955054047,-0.3690440281471467,-0.458015280519296,-0.055756280781967205,-0.41358471720826784,-0.7984529012907874,-0.04639341539331726,-0.4553289652136085,-1.0,-0.017994607326397648,-0.2819652175415529,-0.6907864918195157,0.05323299913513325,-0.275029581168174,-0.9081207353374674,-0.020293803811812998,-0.2587038084919929,-0.6306289225785386,-0.04539185010167278,-0.2584835569918069,-0.5623571428499394,-0.04871161957983707,-0.15213838759430062,-0.6893517644037741,0.05673649221568294,-0.15707683499804406,-0.8957655405300242,-0.025436043521484406,-0.16557359464197213,-0.5645698770911245,-0.03132152489354234,-0.16562630440270043,-0.5480028765814062,-0.008608425621296725,-0.040456354923056354,-0.6576131601750461,0.036188459286470104,-0.04478016886687898,-0.8036669992289517,-0.0566891687514383,-0.06647373146212338,-0.49287290416091456,-0.028684337152232564,-0.06758359463827439,-0.473880784034832,0.01869397876822289,0.06378405456455266,-0.6285306169250571,0.009361219586379227,0.053605692196982156,-0.7317176379801525,-0.027827889681190075,0.03076838157940428,-0.5117865647324437,0.005476194756316942,0.03968305432624942,-0.4711463307333773,0.04354841259530348
A,0.0,0.0,0.0,-0.21110525956830636,-0.08288596749887855,-0.06293655753679166,-0.35961352634974764,-0.45257765676492184,-0.054224118948092585,-0.4042274084640581,-0.8036119257109943,-0.04447052413328229,-0.4481763025660584,-1.0,-0.015794838899215027,-0.27269497926673875,-0.6837420691494988,0.04370608323012541,-0.26832521132783876,-0.9014947946044767,-0.030743900899623165,-0.2470463996793894,-0.6271751683443709,-0.05449783719476411,-0.24504741191507495,-0.564797804010543,-0.05709017804980752,-0.1448159604097415,-0.6804379183460978,0.045574685461671205,-0.15243488821112927,-0.890774645984082,-0.03659371732041438,-0.15678292802215626,-0.5651614819039232,-0.03961824421893135,-0.1569179911380087,-0.550222186873032,-0.015381136853411193,-0.03344817274827354,-0.6494369765927036,0.023938258754904965,-0.03883540721831209,-0.8069954780681039,-0.06820636203796113,-0.05679652151450148,-0.5025797792811169,-0.037144100355789585,-0.0575320588802758,-0.484759026008502,0.011193955212824456,0.07276065991006835,-0.6209552905543603,-0.0041753211942445086,0.06468825803251668,-0.7361502465170113,-0.04240229891828615,0.043822683186392396,-0.5205604086551181,-0.008834802744012618,0.05261224740799865,-0.4779678459921026,0.028897360248532688
A,0.0,0.0,0.0,-0.2158707175970764,-0.09650848840162364,-0.06077097229646376,-0.36645025977436,-0.457447353723576,-0.04961007905845277,-0.41448699406414513,-0.80299574503803,-0.038811147466597674,-0.45694675809346713,-1.0,-0.008318039942214235,-0.27904423158873437,-0.6863562233930363,0.059921146897084276,-0.27404473198259277,-0.902234137514689,-0.015577878276493205,-0.254739079576613,-0.6325293806522984,-0.04151218977893384,-0.25546384358441265,-0.5732111861163841,-0.04451371221379655,-0.15047704214500016,-0.6790977548995554,0.0616916684931147,-0.15463690237907687,-0.8888797419043807,-0.02098709637208027,-0.16170240985377737,-0.5672653771570741,-0.026620453420316086,-0.16628451103449166,-0.560228655780679,-0.0033325731911834507,-0.03824434931580556,-0.6470336732783223,0.03881492992711436,-0.040106971293534265,-0.803749362401374,-0.05491935710041698,-0.06097595096355411,-0.5007119851323838,-0.026452531010553778,-0.0649660539263162,-0.4860903958814895,0.021538613380111777,0.06940852907880181,-0.6180955063555401,0.009579486007814443,0.0631686714704477,-0.7380052767339454,-0.028647521449264676,0.039671951471480775,-0.5215926675619951,0.004679428856816293,0.04625468648441569,-0.47617479564560494,0.04318324556641325
A,0.0,0.0,0.0,-0.2140174093343665,-0.09541206136055928,-0.06360012897310806,-0.3612878607253251,-0.4618684512760033,-0.05442977410331617,-0.40558395139521614,-0.8077549691536738,-0.0441799009332867,-0.4479996455546378,-1.0,-0.014077610508087979,-0.27332167992200074,-0.6877949054599487,0.050165327618777386,-0.26644126212352154,-0.896660150761685,-0.02253455614868943,-0.2454129661009733,-0.622304538816557,-0.045598767571622574,-0.24851183506901572,-0.5712721900891542,-0.048427831805264866,-0.14575713999846726,-0.6799583233989288,0.05324611840979725,-0.14977325608624198,-0.8814031007050589,-0.027856627187975387,-0.1562932412697872,-0.5581120755170857,-0.03203509137582185,-0.1612110376201708,-0.5544804741052649,-0.009434423246646739,-0.03444586246242666,-0.6470648890468932,0.03237202948672041,-0.03559142348663539,-0.7978913694150906,-0.05887214100801826,-0.05708845487367695,-0.49379833708711907,-0.02909294290605721,-0.06177008736599198,-0.4815249346458101,0.017865924368257957,0.07073845976991919,-0.6187197045011368,0.004857466076524941,0.06574016813270094,-0.7334210310634638,-0.03204020340862986,0.04175337095634255,-0.5175155083150966,0.001218231826982833,0.04774740924921447,-0.4750581029615879,0.03839269650193389
