label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63
A,0.0,0.0,0.0,0.181557,-0.045019,-0.036787,0.29139,-0.034966,-0.037359,0.312249,-0.178904,-0.030961,0.351985,-0.34746,-0.114009,0.327016,-0.375466,0.002566,0.295831,-0.490257,0.057258,0.295247,-0.487341,-0.144805,0.200971,-0.572564,-0.143542,0.161135,-0.69936,-0.097962,-0.013675,-0.616946,-0.079649,-0.160517,-0.742788,-0.145931,-0.192949,-0.965749,-0.135885,-0.29056,-0.827834,-0.021602,-0.382897,-0.91145,-0.108404,-0.462919,-0.925662,0.062915,-0.40308,-1.0,0.018624,-0.421342,-0.913784,0.029258,-0.271421,-0.788006,-0.077678,-0.268402,-0.798655,0.017749,-0.172011,-0.804607,-0.132317
A,0.0,0.0,0.0,0.189364,-0.027123,-0.044292,0.260039,-0.121743,0.045105,0.38598,-0.111791,-0.213669,0.499883,-0.283572,-0.069274,0.479422,-0.501431,-0.076599,0.486914,-0.370888,-0.113848,0.368555,-0.588431,-0.042069,0.36625,-0.678941,-0.083871,0.252665,-0.665984,-0.17012,0.111568,-0.825916,-0.21791,0.032276,-0.845589,-0.114216,-0.114983,-1.0,-0.124377,-0.219564,-0.993781,-0.088148,-0.245188,-0.840519,-0.049141,-0.29673,-0.969644,-0.171364,-0.322257,-0.953034,0.109962,-0.304805,-0.919915,-0.056844,-0.306064,-0.84193,-0.022098,-0.092703,-0.945224,-2.6e-05,-0.124407,-0.822921,0.031497
A,0.0,0.0,0.0,0.161536,-0.110798,0.018586,0.23927,-0.02901,-0.03413,0.514651,-0.188462,0.013961,0.52801,-0.303716,0.048177,0.590486,-0.422774,0.031768,0.507778,-0.355496,-0.0864,0.350549,-0.472705,-0.001516,0.378062,-0.581197,-0.086696,0.269491,-0.674523,-0.098619,0.258722,-0.741508,-0.130823,0.045759,-0.908324,0.017058,-0.042675,-0.949319,0.047691,-0.200373,-0.871306,0.133682,-0.325431,-1.0,-0.04004,-0.41074,-0.957697,0.057287,-0.34319,-0.886397,0.036798,-0.231313,-0.942698,0.2159,-0.222406,-0.957243,-0.063185,-0.136255,-0.883523,0.039267,-0.019556,-0.843842,-0.089033
A,0.0,0.0,0.0,0.248046,-0.098208,-0.026607,0.376597,-0.131545,-0.012261,0.448714,-0.222151,0.008658,0.548046,-0.152208,0.053114,0.441962,-0.385591,0.002267,0.562912,-0.383116,0.213959,0.518907,-0.439522,-0.008437,0.443097,-0.636725,-0.039568,0.236754,-0.721118,-0.135451,0.171937,-0.62381,-0.2305,0.084292,-0.962952,-0.122728,-0.011234,-0.898397,-0.146276,-0.242709,-0.891474,-0.10074,-0.257764,-0.955134,-0.07612,-0.169998,-0.918858,-0.159214,-0.313859,-1.0,0.042617,-0.351267,-0.942747,0.010241,-0.169888,-0.991526,-0.06474,-0.166607,-0.923655,0.059799,0.012034,-0.936475,-0.019322
A,0.0,0.0,0.0,-0.0475,-0.023903,0.069515,0.115761,-0.107393,0.069954,0.169769,-0.424086,0.069958,0.215832,-0.37556,0.232694,0.167763,-0.409083,0.126612,0.338127,-0.560018,0.173311,0.205362,-0.621276,0.110229,0.143775,-0.684504,0.069817,0.010237,-0.720869,0.098238,0.021634,-0.877244,0.190971,-0.316515,-0.869476,0.104254,-0.288165,-0.945615,0.071096,-0.432455,-0.975776,0.15659,-0.451145,-1.0,0.176992,-0.495676,-0.909903,0.171091,-0.574037,-0.98791,0.180459,-0.456501,-0.936768,0.133592,-0.354928,-0.948548,0.14537,-0.360674,-0.898171,0.160828,-0.190347,-0.807228,0.155428
A,0.0,0.0,0.0,0.137281,-0.091216,0.045134,0.261975,-0.188938,0.18698,0.247009,-0.281074,0.133556,0.421128,-0.24145,0.096212,0.395921,-0.424374,0.048531,0.344031,-0.395312,0.016052,0.290411,-0.569627,0.032176,0.232206,-0.690487,0.005169,0.184842,-0.753045,-0.049272,0.069788,-0.886471,-0.108318,-0.110159,-0.869054,0.011506,-0.083729,-0.848319,-0.001552,-0.277003,-1.0,0.027212,-0.367567,-0.933502,-0.00679,-0.358259,-0.860421,0.050296,-0.373206,-0.906177,0.033673,-0.356473,-0.931666,0.057909,-0.359062,-0.906494,0.068051,-0.128437,-0.819263,0.154285,-0.161833,-0.797824,0.009807
A,0.0,0.0,0.0,-0.065898,-0.135138,0.042916,0.040571,-0.034997,0.119417,0.32048,-0.052277,0.061985,0.19143,-0.169512,0.006141,0.410973,-0.215404,0.052077,0.152724,-0.302324,0.056889,0.310752,-0.608804,0.001476,0.142476,-0.591369,-0.005829,0.077227,-0.759906,0.006042,-0.083055,-0.729592,0.066584,-0.300771,-0.940142,0.117251,-0.323354,-0.937394,0.155006,-0.44571,-0.838619,0.072857,-0.390019,-0.818174,0.070037,-0.512512,-0.900379,0.195457,-0.656098,-0.888726,0.176006,-0.680866,-1.0,-0.048991,-0.509798,-0.840315,0.181822,-0.388696,-0.746415,-0.04108,-0.394434,-0.834641,0.061812
A,0.0,0.0,0.0,0.043117,0.158946,0.056619,0.196521,0.007084,-0.033293,0.36472,0.038708,-0.020476,0.476867,-0.163904,-0.010152,0.461728,-0.302472,-0.006782,0.368885,-0.183834,0.015934,0.354393,-0.422526,-0.018173,0.302324,-0.496877,0.028005,0.162903,-0.683149,-0.059731,-0.103981,-0.839657,0.064212,0.051851,-0.816847,0.016844,-0.181528,-0.623343,0.077509,-0.329338,-0.964387,-0.103655,-0.390609,-0.970724,-0.069148,-0.503961,-1.0,0.177084,-0.398142,-0.91009,0.163959,-0.42547,-0.953188,0.158254,-0.319175,-0.937718,0.01172,-0.321164,-0.931277,0.072582,0.014674,-0.900773,0.023392
A,0.0,0.0,0.0,0.102343,-0.00507,0.003827,0.278785,-0.064036,0.055089,0.290611,-0.162619,0.123491,0.437074,-0.264012,0.078937,0.478394,-0.391531,0.094584,0.380552,-0.339985,-0.005179,0.265674,-0.567507,0.026389,0.321504,-0.609412,0.047485,0.104009,-0.638033,-0.077029,0.05518,-0.702882,-0.054337,-0.045095,-0.703067,-0.026654,-0.080151,-0.883637,0.059362,-0.138219,-1.0,-0.004388,-0.264347,-0.875654,0.086087,-0.379822,-0.861605,0.064086,-0.276122,-0.843202,0.096999,-0.347538,-0.872251,0.041277,-0.237098,-0.844125,0.071401,-0.044839,-0.736146,0.013745,0.00661,-0.789802,-0.111871
A,0.0,0.0,0.0,0.21157,0.215778,0.072014,0.317926,0.091382,-0.098198,0.452038,0.009976,-0.037082,0.587337,-0.111515,0.037148,0.579836,-0.068184,0.066812,0.540639,-0.373537,-0.030197,0.532587,-0.508307,0.015008,0.349886,-0.512508,0.015622,0.347285,-0.680681,-0.038973,0.067099,-0.760414,0.009534,0.057368,-0.866418,0.057441,-0.029601,-0.823032,0.151208,-0.299242,-0.98307,-0.095183,-0.216703,-0.864139,0.052022,-0.354998,-1.0,0.249121,-0.374672,-0.899806,0.124846,-0.316398,-0.870883,0.004425,-0.24667,-0.720646,0.143906,-0.061885,-0.865086,-0.05044,-0.063618,-0.792219,0.08141
